Product Link,Brand Name,Product Type,Country of Origin,Model No.,Frame Size,Frame Width,Frame Dimensions,Frame colour,Weight,Weight Group,Material,Frame Material,Temple Material,Frame Style,Frame Style Secondary,Collection,Product Warranty,Gender,Height,Condition,Temple Colour,Prescription Type,Manufacturer Details,Suited For,Glass Color
https://www.lenskart.com/john-jacobs-jj-e70069-c1-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E70069,"Extra Wide
?",142 mm,55-16-147,Silver,"17 gm
?",,,"Titanium
?","Titanium
?",,,Pro Titanium,"1 Year Manufacturer Warranty
?",Unisex,42 mm,New,Silver,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e70038-c2-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E70038,"Extra Wide
?",142 mm,55-19-140,Gray,"25 gm
?",,,"Stainless Steel
?","Stainless Steel
?",,,Supreme Steel,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,Light Gray,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e70001-c1-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E70001,"Wide
?",141 mm,52-20-141,Black,"16 gm
?","Light
?",Titanium,"Titanium
?","Titanium
?",Premium,Premium,Pro Titanium,"1 Year Manufacturer Warranty
?",Unisex,38 mm,New,Gold,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e70038-c1-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E70038,"Extra Wide
?",142 mm,55-19-140,Gray,"25 gm
?",,,"Stainless Steel
?","Stainless Steel
?",,,Supreme Steel,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,Light Green,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e15824-c1-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E15824,"Narrow
?",132 mm,53-17-140,Gold,"20 gm
?","Light
?",,"Stainless Steel
?","Stainless Steel
?",Premium,Premium,Supreme Steel,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,Gold,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e70040-c1-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E70040,"Wide
?",138 mm,57-17-140,Dark Brown,"32 gm
?",,,"Stainless Steel
?","Stainless Steel
?",,,Supreme Steel,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,Golden Brown,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50023-c1-eyeglasses.html,OWNDAYS,Eyeglasses,China,OD E50023,"Extra Wide
?",143 mm,54-18-142,Gold,"25 gm
?","Average
?",Stainless Steel,"Stainless Steel
?","Stainless Steel
?",Premium,Premium,OD Titanium,"1 Year Manufacturer Warranty
?",Unisex,37 mm,New,Black,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50074-c1-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50074,"Extra Wide
?",143 mm,54-19-145,Black,"20 gm
?",,Metal,"Stainless Steel
?","Stainless Steel
?",,,OD Stainless Steel,"1 Year Manufacturer Warranty
?",Unisex,36 mm,New,Silver,Bifocal / Progressive,,,
https://www.lenskart.com/eye:john-jacobs-jj-e70059/n-c2-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E70059/N,"Narrow
?",131 mm,48-20-135,Dark Gunmetal,"21 gm
?","Average
?",Stainless Steel,"Stainless Steel
?","Stainless Steel
?",Premium,Premium,Supreme Steel,"1 Year Manufacturer Warranty
?",Unisex,42 mm,New,Black,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e12649-c3-full-rim-rectangle-acetate-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E12649,"Wide
?",141 mm,55-17-145,Black,"25 gm
?","Average
?",Italian Acetate,"Italian Acetate
?","Italian Acetate
?",Premium,Premium,Rich Acetate,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,Black,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50006-c1-eyeglasses.html,OWNDAYS,Eyeglasses,China,OD E50006,"Narrow
?",,54-17-140,Gold,"19 gm
?","Light
?",Stainless Steel,"Stainless Steel
?","Stainless Steel
?",Premium,Premium,OD Stainless Steel,"1 Year Manufacturer Warranty
?",Unisex,34 mm,New,Gold,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e16894-c1-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E16894,"Wide
?",140 mm,51-19-145,Black,"32 gm
?","Average
?",Italian Acetate,"Italian Acetate
?","Italian Acetate
?",Premium,Premium,Rich Acetate,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,Black,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e70079-c1-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E70079,"Narrow
?",132 mm,51-17-140,Gold,"21 gm
?","Average
?",,"Stainless Steel
?","Italian Acetate
?",Premium,Premium,Supreme Steel,"1 Year Manufacturer Warranty
?",Women,37 mm,New,Black,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e70079-c2-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E70079,"Narrow
?",132 mm,51-17-140,Silver,"21 gm
?","Average
?",,"Stainless Steel
?","Italian Acetate
?",Premium,Premium,Supreme Steel,"1 Year Manufacturer Warranty
?",Women,37 mm,New,Purple Transparent,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50099-c1-eyeglasses.html,OWNDAYS,Eyeglasses,China,OD E50099,"Extra Narrow
?",129 mm,51-20-145,Light Yellow,"28 gm
?",,Japanese Acetate,"Japanese Acetate
?","Japanese Acetate
?",,,OD Japanese Acetate,,Unisex,43 mm,New,Light Yellow,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50015-c1-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50015,"Wide
?",138 mm,53-17-140,Black,"13 gm
?","Light
?",Titanium,"Titanium
?","Titanium
?",Premium,Premium,OD Titanium,"1 Year Manufacturer Warranty
?",Unisex,41 mm,New,Golden Brown,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50099-c2-eyeglasses.html,OWNDAYS,Eyeglasses,China,OD E50099,"Extra Wide
?",143 mm,51-20-145,Dark Grey,"28 gm
?",,Japanese Acetate,"Japanese Acetate
?","Japanese Acetate
?",,,OD Japanese Acetate,,Unisex,43 mm,New,Dark Gray,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50044-c2-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50044,"Wide
?",140 mm,55-18-145,Gold,"23 gm
?","Average
?",Stainless Steel,"Stainless Steel
?","Japanese Acetate
?",Premium,Premium,OD Stainless Steel,"1 Year Manufacturer Warranty
?",Unisex,32 mm,New,Turquoise,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50051-c2-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50051,"Wide
?",141 mm,54-19-145,Mid Gunmetal,"17 gm
?",,Titanium,"Titanium
?","Titanium
?",,,OD Titanium,,Unisex,33 mm,New,Mid Gunmetal,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e70085-c2-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E70085,"Narrow
?",133 mm,52-18-140,Gold,"21 gm
?","Average
?",Stainless Steel,"Stainless Steel
?","Stainless Steel
?",Premium,Premium,Supreme Steel,"1 Year Manufacturer Warranty
?",Unisex,47 mm,New,Gold,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50095-c1-eyeglasses.html,OWNDAYS,Eyeglasses,China,OD E50095,"Wide
?",139 mm,51-19-140,Havana,"21 gm
?",,Acetate,"Japanese Acetate
?","Stainless Steel
?",,,OD Japanese Acetate,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Copper,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50090-c1-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50090,"Wide
?",141 mm,52-19-145,Black,"25 gm
?",,Stainless Steel,"Stainless Steel
?","Stainless Steel
?",,,OD Japanese Acetate,,Unisex,42 mm,New,Gold,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50018-c1-eyeglasses.html,OWNDAYS,Eyeglasses,China,OD E50018,"Narrow
?",133 mm,51-18-140,Gold,"17 gm
?","Light
?",Titanium,"Titanium
?","Titanium
?",Premium,Premium,OD Titanium,"1 Year Manufacturer Warranty
?",Unisex,31 mm,New,Gold,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50077-c1-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50077,"Wide
?",139 mm,53-17-148,Silver,"12 gm
?",,Titanium,"Titanium
?","Titanium
?",,,OD Titanium,"1 Year Manufacturer Warranty
?",Unisex,44 mm,New,Silver,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50077-c2-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50077,"Wide
?",139 mm,53-17-148,Gunmetal,"12 gm
?",,Titanium,"Titanium
?","Titanium
?",,,OD Titanium,"1 Year Manufacturer Warranty
?",Unisex,45 mm,New,Gunmetal,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50083-c1-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50083,"Wide
?",140 mm,52-18-147,Gunmetal,"20 gm
?",,Titanium,"Titanium
?","Titanium
?",,,OD Titanium,"1 Year Manufacturer Warranty
?",Unisex,42 mm,New,Gunmetal,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50084-c3-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50084,"Extra Wide
?",143 mm,50-19-146,Light Gray,"17 gm
?",,Acetate & Titanium,"Japanese Acetate
?","Titanium
?",,,OD Titanium,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Silver,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50084-c2-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50084,"Extra Wide
?",143 mm,50-19-146,Tortoise,"17 gm
?",,Acetate & Titanium,"Japanese Acetate
?","Titanium
?",,,OD Japanese Acetate,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Gold,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50084-c1-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50084,"Extra Wide
?",142 mm,50-19-146,Black,"17 gm
?",,Acetate,"Japanese Acetate
?","Titanium
?",,,OD Japanese Acetate,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Gold,Bifocal / Progressive,,,
