Product Link,Brand Name,Product Type,Model No.,Frame Size,Frame Width,Frame Dimensions,Frame colour,Weight,Weight Group,Material,Frame Material,Temple Material,Prescription Type,Frame Style,Frame Style Secondary,Collection,Product Warranty,Gender,Height,Condition,Temple Colour,Country of Origin,Manufacturer Details,,Suited For,Glass Color,Lens Technology,Lens Material,Power
https://www.lenskart.com/lenskart-hustlr-lb-e14058-xw-c3-eye.html,Lenskart Hustlr Screen Glasses,Zero Power Screen Glasses,LB E14058-XW,"Extra Wide
?",144 mm,52-20-150,Dusty Rose,"21 gm
?","Average
?",TR90,"TR90
?","TR90
?",No Power,Light-Weight,Light-Weight,Lenskart HUSTLR,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Dusty Rose,,,,,,,,
https://www.lenskart.com/vincent-chase-vc-e13526-c4-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E13526,"Medium
?",135 mm,51-17-135,Navy Blue,"15 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Light-Weight,Others,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,Navy Blue,India,Baofeng Framekart Technology Limited,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e16223-c2-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E16223,"Extra Narrow
?",128 mm,50-13-140,Crystal Transparent,"22 gm
?","Average
?",TR90,"TR90
?","TR90
?",No Power,Colorful,Colorful,Others,"1 Year Manufacturer Warranty
?",Unisex,36 mm,New,Transparent,China,,,,,,,
https://www.lenskart.com/lenskart-hustlr-lb-e14058-xw-c3-eyeglasses.html,Lenskart Hustlr Screen Glasses,Zero Power Screen Glasses,LB E14058-XW,"Extra Wide
?",144 mm,52-20-150,Electric Green,"21 gm
?","Average
?",TR90,"TR90
?","TR90
?",No Power,Light-Weight,Light-Weight,Lenskart HUSTLR,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Electric Green,,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e13737-c1-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E13737,"Wide
?",140 mm,53-17-142,Black,"16 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,39 mm,New,,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14063-c3-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14061,"Extra Wide
?",142 mm,52-20-141,Gray Transparent,"18 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Light-Weight,Colorful,Others,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Light Gray,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e17869-c1-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E17869,"Extra Narrow
?",129 mm,48-18-144,Silver,"20 gm
?",,Stainless Steel,"Stainless Steel
?","Stainless Steel
?",No Power,,,,"1 Year Manufacturer Warranty
?",Unisex,41 mm,New,Silver,,,,,,,,
https://www.lenskart.com/lenskart-hustlr-lb-e14058-n-c4-eye.html,Lenskart Hustlr Screen Glasses,Zero Power Screen Glasses,LB E14058-N,"Narrow
?",134 mm,46-20-145,Dusty Rose,"19 gm
?","Light
?",TR90,"TR90
?","TR90
?",No Power,Light-Weight,Light-Weight,Others,"1 Year Manufacturer Warranty
?",Unisex,39 mm,New,Dusty Rose,,,,,,,,
https://www.lenskart.com/vincent-chase-vc-e13527-c2-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E13527,"Medium
?",137 mm,53-17-140,Black,"13 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Light-Weight,Others,"1 Year Manufacturer Warranty
?",Unisex,35 mm,New,Red,China,Baofeng Framekart Technology Limited,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e17492-c1-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E17492,"Extra Wide
?",148 mm,57-18-142,Gunmetal,"24 gm
?","Average
?",Stainless Steel,"Stainless Steel
?","Stainless Steel
?",No Power,,,BLU COMPUTER GLASSES,"1 Year Manufacturer Warranty
?",Unisex,45 mm,New,Gunmetal,China,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e16384-c1-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E16384,"Narrow
?",131 mm,50-18-135,Black,"20 gm
?","Light
?",Stainless Steel,"Stainless Steel
?","Rubberized
?",No Power,Light-Weight,Light-Weight,Others,"1 Year Manufacturer Warranty
?",Unisex,47 mm,New,Red,,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e16059-c3-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E16059,"Narrow
?",131 mm,48-19-140,Black,"24 gm
?","Average
?",Acetate,"Acetate
?","Acetate
?",No Power,Light-Weight,Light-Weight,Others,"1 Year Manufacturer Warranty
?",Unisex,46 mm,New,Dark Night,India,,,,,,,
https://www.lenskart.com/transparent-full-rim-round-small-size-49-john-jacobs-rich-acetate-jj-e10118-c7-eyeglasses-dup.html,John Jacobs Screen Glasses,Zero Power Screen Glasses,JJ E10118,"Medium
?",135 mm,49-20-140,Crystal Transparent,"23 gm
?","Average
?",Italian Acetate,"Italian Acetate
?","Italian Acetate
?",No Power,Premium,Premium,Others,"1 Year Manufacturer Warranty
?",Unisex,42 mm,New,Transparent,,,,,,,,
https://www.lenskart.com/blue-transparent-full-rim-rectangle-john-jacobs-rich-acetate-jj-e13003-c1-smartphone-pc-eyeglasses-143564.html,John Jacobs Screen Glasses,Zero Power Screen Glasses,JJ E13003,"Medium
?",134 mm,50-17-140,Blue Transparent,"21 gm
?","Light
?",Italian Acetate,"Italian Acetate
?","Italian Acetate
?",,Premium,Premium,Others,"1 Year Manufacturer Warranty
?",Unisex,36 mm,New,Navy Blue,,,,,,,,
https://www.lenskart.com/transparent-full-rim-round-small-size-48-john-jacobs-rich-acetate-jj-e12784-c2-eyeglasses-dup.html,John Jacobs Screen Glasses,Eyeglasses,JJ E12784,"Medium
?",134 mm,48-19-145,Crystal Transparent,"23 gm
?","Average
?",Italian Acetate,"Italian Acetate
?","Italian Acetate
?",No Power,Premium,Premium,Others,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Transparent,,,,,,,,
https://www.lenskart.com/green-transparent-full-rim-round-medium-size-51-john-jacobs-rich-acetate-jj-e10229-c8-eyeglasses-dup.html,John Jacobs Screen Glasses,Eyeglasses,JJ E10229,"Wide
?",140 mm,51-18-140,Green Transparent,"24 gm
?","Average
?",Italian Acetate,"Italian Acetate
?","Acetate
?",No Power,Premium,Premium,Others,"1 Year Manufacturer Warranty
?",Unisex,44 mm,New,Green Transparent,,,,,,,,
https://www.lenskart.com/sky-blue-full-rim-cat-eye-medium-size-51-john-jacobs-tr-flex-jj-2239-c10-dup-eyeglasses.html,John Jacobs Screen Glasses,Eyeglasses,JJ 2239,"Narrow
?",133 mm,51-15-140,Sky Blue,"15 gm
?","Light
?",TR90,"TR90
?","TR90
?",No Power,Premium,Youth,Others,"1 Year Manufacturer Warranty
?",Women,38 mm,New,Sky Blue,,,,,,,,
https://www.lenskart.com/black-full-rim-cat-eye-large-size-54-john-jacobs-rich-acetate-jj-e10231-c1-neweyeglasses.html,John Jacobs Screen Glasses,Zero Power Screen Glasses,JJ E10231,"Wide
?",138 mm,54-17-140,Black,"24 gm
?","Average
?",Italian Acetate,"Italian Acetate
?","Italian Acetate
?",No Power,Premium,Youth,Others,"1 Year Manufacturer Warranty
?",Women,38 mm,New,,,,,,,,,
https://www.lenskart.com/green-transparent-full-rim-rectangle-john-jacobs-rich-acetate-jj-e13004-c1-smartphone-pc-eyeglasses-143566.html,John Jacobs Screen Glasses,Zero Power Screen Glasses,JJ E13004,"Narrow
?",133 mm,51-17-140,Green Transparent,"23 gm
?","Average
?",Italian Acetate,"Italian Acetate
?","Italian Acetate
?",No Power,Premium,Premium,Others,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,Light Green,,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e13736-c4-computer.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E13736,"Medium
?",137 mm,49-19-140,Olive Green,,,TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,,,Others,,Unisex,,New,Olive Green,India,,,,,,,
https://www.lenskart.com/transparent-full-rim-cat-eye-large-size-55-john-jacobs-rich-acetate-jj-e11083-c9-eyeglasses-dup.html,John Jacobs Screen Glasses,Eyeglasses,JJ E11083,"Wide
?",138 mm,55-16-140,Crystal Transparent,"22 gm
?","Average
?",Italian Acetate,"Italian Acetate
?","Italian Acetate
?",,Premium,Premium,Others,"1 Year Manufacturer Warranty
?",Women,42 mm,New,Transparent,,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e13737-c3-computer.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E13737,"Wide
?",140 mm,53-17-142,Gray Transparent,"19 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Light-Weight,Colorful,Others,"1 Year Manufacturer Warranty
?",Unisex,37 mm,New,Navy Blue,India,,,,,,,
https://www.lenskart.com/golden-tortoise-full-rim-rectangle-large-size-55-john-jacobs-rich-acetate-jj-e12655-c2-neweyeglasses.html,John Jacobs Screen Glasses,Eyeglasses,JJ E12655,"Narrow
?",130 mm,55-18-140,Light Brown,"21 gm
?","Average
?",Italian Acetate,"Italian Acetate
?","Stainless Steel
?",No Power,Premium,Premium,Others,"1 Year Manufacturer Warranty
?",Unisex,36 mm,New,Gold,,,,,,,,
https://www.lenskart.com/brown-tortoise-golden-full-rim-rectangle-medium-size-53-john-jacobs-tr-flex-jj-e11499-c3-neweyeglasses.html,John Jacobs Screen Glasses,Eyeglasses,JJ E11499,"Medium
?",135 mm,53-17-145,Light Brown,"15 gm
?","Light
?",TR90,"TR90
?","Stainless Steel
?",No Power,Premium,Youth,Others,"1 Year Manufacturer Warranty
?",Unisex,35 mm,New,Golden Brown,,,,,,,,
https://www.lenskart.com/lenskart-hustlr-lb-e14058-hl-c1-eyeglasses.html,Lenskart Hustlr Screen Glasses,Zero Power Screen Glasses,LB E14058-XW,"Extra Wide
?",144 mm,51-21-150,Blue sky,"21 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Light-Weight,Light-Weight,Others,"1 Year Manufacturer Warranty
?",Unisex,44 mm,New,Blue sky,,,,,,,,
https://www.lenskart.com/brown-tortoise-golden-full-rim-rectangle-medium-size-53-john-jacobs-tr-flex-jj-e11500-c3-neweyeglasses.html,John Jacobs Screen Glasses,Eyeglasses,JJ E11500,"Wide
?",139 mm,53-19-145,Light Brown,"16 gm
?","Light
?",TR90,"TR90
?","Stainless Steel
?",No Power,Premium,Youth,Others,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,Golden Brown,,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e13533-c4-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E13533,"Wide
?",138 mm,52-17-145,Green,"18 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","Stainless Steel
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,42 mm,New,Black,,,,,,,,
https://www.lenskart.com/lenskart-hustlr-lb-e14058-h-xw-c2-eyeglasses.html,Lenskart Hustlr Screen Glasses,Zero Power Screen Glasses,LB E14058-XW,"Extra Wide
?",144 mm,51-21-150,GreyStone,"21 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Light-Weight,Light-Weight,Lenskart HUSTLR,"1 Year Manufacturer Warranty
?",Unisex,44 mm,New,GreyStone,,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14062-c2-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14061,"Extra Wide
?",142 mm,52-20-141,Pink Transparent,"18 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Light-Weight,Colorful,Others,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Baby Pink,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14067-c5-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14067,"Medium
?",136 mm,51-18-142,,"19 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,37 mm,New,Navy Blue,,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14131-c4-c4-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14131,"Narrow
?",130 mm,48-20-142,Black,"21 gm
?","Average
?",Stainless Steel (Simple Matte & Shiny),"Stainless Steel
?","Stainless Steel
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,44 mm,New,Black,China,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14131-c2-c2-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14131,"Narrow
?",130 mm,48-20-142,Gold,"21 gm
?","Average
?",Stainless Steel (Simple Matte & Shiny),"Stainless Steel
?","Stainless Steel
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,44 mm,New,Black,China,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14131-c1-c1-eyeglasses.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14131-c3-c3-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14131,"Narrow
?",130 mm,48-20-142,Red,"21 gm
?","Average
?",Stainless Steel (Simple Matte & Shiny),"Stainless Steel
?","Stainless Steel
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,44 mm,New,Red,,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14067-c4-eyeglasses.html,,Zero Power Screen Glasses,LB E14067,"Medium
?",136 mm,51-18-142,Gray Transparent,"19 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,37 mm,New,Gray Transparent,China,,Lenskart BLU Screen Glasses,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14240-c1-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14240,"Medium
?",134 mm,49-19-142,Black,"18 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,42 mm,New,Black,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14240-c2-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14240,"Medium
?",134 mm,49-19-142,Blue Transparent,"18 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,42 mm,New,Blue Transparent,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14241-c2-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14241,"Wide
?",140 mm,53-17-142,Gray Transparent,"18 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,39 mm,New,Gray Transparent,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14241-c1-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14241,"Wide
?",140 mm,53-17-142,Gray Transparent,"18 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,38 mm,New,Gray Transparent,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14244-c1-eyeglasse.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14244,"Medium
?",135 mm,48-20-142,Gray Transparent,"18 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Gray Transparent,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14242-c1-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14242,"Medium
?",134 mm,52-15-142,Gray Transparent,"16 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,36 mm,New,Gray Transparent,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14242-c3-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14242,"Medium
?",134 mm,52-15-142,Brown Transparent,"17 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,36 mm,New,Brown Transparent,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14255-full-rim-rectangle-c3-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14255,"Medium
?",137 mm,53-17-140,Black,"17 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Reading,Reading,Others,"1 Year Manufacturer Warranty
?",Unisex,37 mm,New,Red,China,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14255-full-rim-rectangle-c1-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14255,"Medium
?",137 mm,53-17-140,Black,"17 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Reading,Reading,Others,"1 Year Manufacturer Warranty
?",Unisex,37 mm,New,Sky Blue,China,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14270-c1-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14270,"Medium
?",136 mm,52-15-142,Black,"16 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Reading,Reading,Others,"1 Year Manufacturer Warranty
?",Unisex,35 mm,New,Black,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14242-c2-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14242,"Medium
?",134 mm,52-15-142,White,"17 gm
?",,TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Reading,Reading,Others,"1 Year Manufacturer Warranty
?",Unisex,36 mm,New,Gray Transparent,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14255-full-rim-rectangle-c2-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14255,"Medium
?",137 mm,53-17-140,Black,"16 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Reading,Reading,Others,"1 Year Manufacturer Warranty
?",Unisex,37 mm,New,Red,China,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14270-c4-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14270,"Medium
?",136 mm,52-15-142,Crystal Transparent,"16 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Reading,Reading,Others,"1 Year Manufacturer Warranty
?",Unisex,36 mm,New,Transparent,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14271-c1-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14271,"Extra Wide
?",143 mm,52-20-141,Crystal Transparent,"18 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Reading,Reading,Others,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Transparent,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14270-c5-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14270,"Medium
?",136 mm,52-15-142,Brown Transparent,"16 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Reading,Reading,Others,"1 Year Manufacturer Warranty
?",Unisex,35 mm,New,Brown Transparent,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14270-c3-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14270,"Medium
?",136 mm,52-15-142,Purple,"16 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Reading,Reading,Others,"1 Year Manufacturer Warranty
?",Women,35 mm,New,Purple,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14283-c3-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14283,"Medium
?",135 mm,52-15-142,Black Blue,"16 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Reading,Reading,Others,"1 Year Manufacturer Warranty
?",Unisex,35 mm,New,Midnight Blue,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e14283-c4-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14283,"Medium
?",135 mm,52-15-142,Black,"15 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Reading,Reading,Others,"1 Year Manufacturer Warranty
?",Unisex,35 mm,New,Black,India,,,,,,,
